Bakim Yeri	Ekipman	Teknik Tanitici Numarasi	SCE Grubu	SCE Sebebi	Ekipman Tipi
1010	1100107987	207-UV-213-B	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
1010	1100107995	207-UV-216-B	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
1010	1100107962	207-UV-217-B	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
1010	1100108000	207-UV-223-B	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
1010	1100108008	207-UV-225-B	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
1014	1100053768	212-FT-1004	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Flow Transmitter
1014	1100175562	212-LT-1081A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Differential Pressure Level Transmitter
1014	1100175563	212-LT-1081B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Differential Pressure Level Transmitter
1014	1100175564	212-LT-1081C	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Differential Pressure Level Transmitter
1014	1100121851	212-PT-1028	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Transmitter
1014	1100121663	212-PT-1038-2	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Transmitter
1014	1100189847	212-PT-1071	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Transmitter
1014	1100121710	212-PT-1200	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Transmitter
1014	1100121711	212-PT-1201	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Transmitter
1014	1100121712	212-PT-1202	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Transmitter
1014	1100121694	212-PT-1211	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Transmitter
1014	1100122460	212-PT-1212	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Transmitter
1014	1100052507	212-TE-1095	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	RTD Temperature Element
1014	1100052522	212-TE-1096	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	RTD Temperature Element
1014	1100052536	212-TE-1098	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	RTD Temperature Element
1014	1100052549	212-TE-1100	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	RTD Temperature Element
1014	1100121648	212-ZV-1008-A	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
1014	1100121651	212-ZV-1008-B	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
1014	1100121654	212-ZV-1008-C	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
1014	1100121657	212-ZV-1008-D	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Mechanical Position Switch
1001	1100019293	214-FIC-4005	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
1001	1100019325	214-FIC-4008	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
1001	1100019282	214-FRC-4003-2	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
1001	1100097443	214-FT-4002-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Differential Pressure Flow Transmitter
1001	1100097444	214-FT-4002-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Differential Pressure Flow Transmitter
1001	1100097445	214-FT-4002-C	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Differential Pressure Flow Transmitter
1001	1100018834	214-FV-1219	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Automated Block Valve
1001	1100018959	214-FV-1255-B	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Automated Block Valve
1001	1100019231	214-FV-3261	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
1001	1100001976	214-LT-5004-A3	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Differential Pressure Level Transmitter
1001	1100001988	214-LT-5004-B3	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Differential Pressure Level Transmitter
